row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,status,score_source,is_placeholder,needs_more_runs,source_path,notes,last_updated
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.3642070763923271,36.42070763923272,3,3,3,ready_for_draft,test,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.3426322491029054;0.3703490049033747;0.3796399751707014. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5031609629858641,50.31609629858641,3,3,3,ready_for_draft,test,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.5172511046347653;0.5131603165838395;0.4790714677389874. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.611367406652996,61.13674066529961,3,3,3,ready_for_draft,test,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.6622666087711681;0.5539269677200712;0.6179086434677489. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7403371801545163,74.03371801545163,3,3,3,ready_for_draft,test,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.7348066298342543;0.7605535729828531;0.7256513376464416. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,5,42;142;242,validation,span_strict_f1_mean,Mean strict span F1,0.4594048072545887,45.94048072545887,3,3,3,placeholder,validation,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed42/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed142/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k5_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.4853023359785403;0.445562262463671;0.4473498233215548. Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,10,42;142;242,validation,span_strict_f1_mean,Mean strict span F1,0.532013853527399,53.2013853527399,3,3,3,placeholder,validation,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed42/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed142/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k10_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.5517988729952319;0.5300159780871947;0.5142267094997706. Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,20,42;142;242,validation,span_strict_f1_mean,Mean strict span F1,0.6205322910190908,62.05322910190908,3,3,3,placeholder,validation,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k20_seed42/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k20_seed142/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k20_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6530738337967252;0.6139226991244928;0.5946003401360545. Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_val,Pat+Perm BART (VAL),facebook/bart-base,50,42;142;242,validation,span_strict_f1_mean,Mean strict span F1,0.735098305917981,73.50983059179809,3,3,3,placeholder,validation,true,false,models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k50_seed42/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k50_seed142/pattern_01_xe_verbalized_final2000/training_summary.json;models/conll2003_kshot_seq2seq/bart_base/pet_oada_verbalized/k50_seed242/pattern_01_xe_verbalized_final2000/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.7255097960815674;0.7259600922490724;0.7538250294233032. Single pattern_01 BART learner. Validation score used as a temporary plot placeholder because test decoding is not available in the summary.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.4629219918835534,46.29219918835534,3,3,3,ready_for_draft,test,false,false,reports/ensemble_tagging/k5_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.484077841662981;0.4459323736190157;0.4587557603686636. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5465215743105848,54.65215743105848,3,3,3,ready_for_draft,test,false,false,reports/ensemble_tagging/k10_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.5575595176749459;0.5354469396741525;0.5465582655826559. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.6455701234701663,64.55701234701662,3,3,3,ready_for_draft,test,false,false,reports/ensemble_tagging/k20_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.6551861437388015;0.6390058127881338;0.6425184138835637. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7365578072160145,73.65578072160145,3,3,3,ready_for_draft,test,false,false,reports/ensemble_tagging/k50_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.7231519556278091;0.7557962751805397;0.7307251908396948. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert,Pat+Perm BART ensemble → BERT,google-bert/bert-base-cased,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5967239314481229,59.67239314481228,3,3,3,ready_for_draft,test,false,false,models/bert_conll_distilled/k5_seed42/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json;models/bert_conll_distilled/k5_seed142/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json;models/bert_conll_distilled/k5_seed242/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6639934384398067;0.5067821067821068;0.6193962491224552. BERT distilled from top_1000 hard-argmax labels produced by the Pat+Perm BART ensemble.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert,Pat+Perm BART ensemble → BERT,google-bert/bert-base-cased,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.6834750796983662,68.34750796983661,3,3,3,ready_for_draft,test,false,false,models/bert_conll_distilled/k10_seed42/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json;models/bert_conll_distilled/k10_seed142/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json;models/bert_conll_distilled/k10_seed242/verbalized_final2000_filtered/top_1000_hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6711728169528681;0.6744761904761905;0.7047762316660399. BERT distilled from top_1000 hard-argmax labels produced by the Pat+Perm BART ensemble.,2026-05-18
