dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,teacher_source,teacher_variant,subset_name,subset_rows,unlabeled_pool_rows,pool_fraction,eval_split,metric_name,metric_label,metric_value,metric_value_percent,status,score_source,is_placeholder,source_path,notes,last_updated
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,full,14031,14031,1.0,test,span_strict_f1,Strict span F1,0.5702,57.02,pilot,test,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; use validation to justify top_1000 and treat test values as exploratory.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_500,500,14031,0.035635378803,test,span_strict_f1,Strict span F1,0.6015,60.15,pilot,test,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; use validation to justify top_1000 and treat test values as exploratory.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_1000,1000,14031,0.071270757608,test,span_strict_f1,Strict span F1,0.6640,66.40,pilot,test,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; top_1000 selected as default filtered-teacher size.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_2000,2000,14031,0.142541515217,test,span_strict_f1,Strict span F1,0.6257,62.57,pilot,test,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; use validation to justify top_1000 and treat test values as exploratory.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_5000,5000,14031,0.356353788041,test,span_strict_f1,Strict span F1,0.5905,59.05,pilot,test,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; use validation to justify top_1000 and treat test values as exploratory.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,full,14031,14031,1.0,validation,span_strict_f1,Strict span F1,0.5506,55.06,pilot,validation,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; validation is the proper selection signal for choosing top_1000.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_500,500,14031,0.035635378803,validation,span_strict_f1,Strict span F1,0.5702,57.02,pilot,validation,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; validation is the proper selection signal for choosing top_1000.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_1000,1000,14031,0.071270757608,validation,span_strict_f1,Strict span F1,0.6665,66.65,pilot,validation,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; top_1000 selected as default filtered-teacher size.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_2000,2000,14031,0.142541515217,validation,span_strict_f1,Strict span F1,0.6330,63.30,pilot,validation,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; validation is the proper selection signal for choosing top_1000.,2026-05-18
conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble -> BERT subset size,google-bert/bert-base-cased,5,42,Pat+Perm BART ensemble,hard_argmax,top_5000,5000,14031,0.356353788041,validation,span_strict_f1,Strict span F1,0.5776,57.76,pilot,validation,false,docs/learnings/agreement_filtered_distillation.md,Subset-size pilot on k5_seed42; validation is the proper selection signal for choosing top_1000.,2026-05-18
