source,method_id,method_label,model_family,k_shot,metric_name,metric_label,metric_value,metric_value_percent,score_source,status,notes
ours,ours_bert,BERT,baseline,5,span_strict_f1,Strict span F1,0.3642,36.42,test,ready_for_draft,Mean over our three CoNLL2003 k-shot split seeds.
ours,ours_bert,BERT,baseline,10,span_strict_f1,Strict span F1,0.5032,50.32,test,ready_for_draft,Mean over our three CoNLL2003 k-shot split seeds.
ours,ours_bert,BERT,baseline,20,span_strict_f1,Strict span F1,0.6114,61.14,test,ready_for_draft,Mean over our three CoNLL2003 k-shot split seeds.
ours,ours_bert,BERT,baseline,50,span_strict_f1,Strict span F1,0.7403,74.03,test,ready_for_draft,Mean over our three CoNLL2003 k-shot split seeds.
oada_paper,oada_bert,OADA BERT baseline,baseline,5,span_strict_f1,Strict span F1,0.3679,36.79,test,reference,BERT baseline reported by the OADA paper.
oada_paper,oada_bert,OADA BERT baseline,baseline,10,span_strict_f1,Strict span F1,0.4325,43.25,test,reference,BERT baseline reported by the OADA paper.
oada_paper,oada_bert,OADA BERT baseline,baseline,20,span_strict_f1,Strict span F1,0.6057,60.57,test,reference,BERT baseline reported by the OADA paper.
oada_paper,oada_bert,OADA BERT baseline,baseline,50,span_strict_f1,Strict span F1,0.7015,70.15,test,reference,BERT baseline reported by the OADA paper.
ours,ours_distilled,Pat+Perm BART ensemble → BERT,hero,5,span_strict_f1,Strict span F1,0.5967,59.67,test,ready_for_draft,Our best distilled top_1000 hard-argmax model.
ours,ours_distilled,Pat+Perm BART ensemble → BERT,hero,10,span_strict_f1,Strict span F1,0.6835,68.35,test,ready_for_draft,Our best distilled top_1000 hard-argmax model.
ours,ours_distilled,Pat+Perm BART ensemble → BERT,hero,20,span_strict_f1,Strict span F1,0.7428,74.28,test,ready_for_draft,Our best distilled top_1000 hard-argmax model.
ours,ours_distilled,Pat+Perm BART ensemble → BERT,hero,50,span_strict_f1,Strict span F1,0.7725,77.25,test,ready_for_draft,Our best distilled top_1000 hard-argmax model.
oada_paper,oada_best,PromptNER+OADA,hero,5,span_strict_f1,Strict span F1,0.5676,56.76,test,reference,Best PromptNER+OADA score reported by the OADA paper.
oada_paper,oada_best,PromptNER+OADA,hero,10,span_strict_f1,Strict span F1,0.6838,68.38,test,reference,Best PromptNER+OADA score reported by the OADA paper.
oada_paper,oada_best,PromptNER+OADA,hero,20,span_strict_f1,Strict span F1,0.7264,72.64,test,reference,Best PromptNER+OADA score reported by the OADA paper.
oada_paper,oada_best,PromptNER+OADA,hero,50,span_strict_f1,Strict span F1,0.7649,76.49,test,reference,Best PromptNER+OADA score reported by the OADA paper.
