row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,score_source,status,is_placeholder,needs_more_runs,source_path,notes,last_updated
mean,main,conll2003,ner,coarse,BIO,pat_bart_ensemble_to_bert,Pat BART ensemble -> BERT,google-bert/bert-base-cased,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5714200298742694,57.14200298742694,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6272;0.4493532338308458;0.6377068557919622. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_bart_ensemble_to_bert,Pat BART ensemble -> BERT,google-bert/bert-base-cased,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.6765100733198136,67.65100733198136,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6830178121794274;0.6857142857142856;0.6607981220657276. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_bart_ensemble_to_bert,Pat BART ensemble -> BERT,google-bert/bert-base-cased,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7276485428696932,72.76485428696931,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k20_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.7662774239207361;0.7225101290869688;0.6941580756013747. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_bart_ensemble_to_bert,Pat BART ensemble -> BERT,google-bert/bert-base-cased,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7714372040150977,77.14372040150977,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k50_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.784070796460177;0.7516718680338832;0.778568947551233. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.4701969392613281,47.01969392613281,3,3,3,test,final_fixed600,false,false,reports/single_bart_tagging/k5_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.4919296053316672;0.4443981240229286;0.4742630884293885. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5385034012514703,53.850340125147035,3,3,3,test,final_fixed600,false,false,reports/single_bart_tagging/k10_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.5576804441702653;0.5442928308425384;0.5135369287416072. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.617649667106773,61.76496671067731,3,3,3,test,final_fixed600,false,false,reports/single_bart_tagging/k20_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.6500294753389663;0.6280740815706912;0.5748454444106618. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7244178823835847,72.44178823835847,3,3,3,test,final_fixed600,false,false,reports/single_bart_tagging/k50_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.7191267204556241;0.7276923076923077;0.7264346190028221. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert,Pat+Perm BART ensemble -> BERT,google-bert/bert-base-cased,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5642836756688133,56.428367566881334,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6639934384398067;0.4570973521799721;0.5717602363866611. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_to_bert,Pat+Perm BART ensemble -> BERT,google-bert/bert-base-cased,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.6772058016962029,67.72058016962029,3,3,3,test,final_fixed600,false,false,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,Mean over split seeds 42;142;242. Individual scores: 0.6670379652835793;0.6653473184246982;0.6992321213803312. Final fixed-600 distilled BERT policy where applicable; no early stopping or best-checkpoint selection.,2026-05-19
