dataset,task,label_level,tagging_scheme,method_family,model,k_shot,split_seed,split_name,metric_name,metric_label,xe_score,oada_xe_score,delta_oada_minus_xe,winner,score_source,status,source_path,notes,last_updated
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,5,42,k5_seed42,span_strict_f1,Validation strict span F1,0.4655,0.5069,0.0414,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,5,142,k5_seed142,span_strict_f1,Validation strict span F1,0.3605,0.2857,-0.0748,xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,5,242,k5_seed242,span_strict_f1,Validation strict span F1,0.4041,0.3946,-0.0095,xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,10,42,k10_seed42,span_strict_f1,Validation strict span F1,0.5254,0.5411,0.0157,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,10,142,k10_seed142,span_strict_f1,Validation strict span F1,0.5233,0.5253,0.0020,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,10,242,k10_seed242,span_strict_f1,Validation strict span F1,0.4558,0.4032,-0.0527,xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,20,42,k20_seed42,span_strict_f1,Validation strict span F1,0.5833,0.5914,0.0081,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,20,142,k20_seed142,span_strict_f1,Validation strict span F1,0.5535,0.5493,-0.0041,xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,20,242,k20_seed242,span_strict_f1,Validation strict span F1,0.5828,0.5849,0.0021,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,50,42,k50_seed42,span_strict_f1,Validation strict span F1,0.6995,0.7266,0.0270,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,50,142,k50_seed142,span_strict_f1,Validation strict span F1,0.7210,0.7167,-0.0043,xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
conll2003,ner,coarse,BIO,Pat+Perm BART objective pilot,facebook/bart-base,50,242,k50_seed242,span_strict_f1,Validation strict span F1,0.7090,0.7191,0.0102,oada_xe,validation,pilot,reports/oada_xe_pilot_findings.md,Old-prompt fixed-2000 pattern_01 pilot; useful for design justification but not final paper-aligned OADA reproduction.,2026-05-18
